Station,Variable,Mean_Value,Local_Morans_I,P_value,Cluster_Type,Significant
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",RAD,561751.4632456031,0.00804064860840699,0.484,Not Significant,False
Bolzano_4-Via_C.Augusta,RAD,565204.1254972415,-0.012487838156149556,0.335,Not Significant,False
Bolzano_5-P.zza_Adriano,RAD,565204.1254972415,-0.012487838156149556,0.335,Not Significant,False
"Laces_1-Via_Stazione,_parcheggio_fs",RAD,598569.1791200017,-0.3951230515013214,0.43,Not Significant,False
"Laives_1,_c/o_campi_sportivi_zona_Galizia",RAD,559792.4690294715,0.08697794334532093,0.255,Not Significant,False
"Merano_1,_Via_Trogman",RAD,579412.4359050937,0.09984925572246771,0.371,Not Significant,False
Bergamo-via_Garibaldi_PM10,RAD,559608.3101998093,0.08270705942207035,0.27,Not Significant,False
Brescia-Broletto_PM10,RAD,568734.1629088373,0.05806568531290542,0.301,Not Significant,False
Calusco_d'Adda_PM10,RAD,560572.0493273811,-0.0009270675791411764,0.495,Not Significant,False
Filago-via_Don_Milani_PM10,RAD,566213.3525087626,-0.00946163508719786,0.452,Not Significant,False
Lallio_PM10,RAD,560133.077263647,0.07568347641486428,0.276,Not Significant,False
Mantova-p.zza_Gramsci_PM10,RAD,588210.2257678986,-0.41421997828781026,0.33,Not Significant,False
Mantova-S.Agnese_PM10,RAD,588210.2257678986,-0.41421997828781026,0.33,Not Significant,False
Osio_Sotto_PM10,RAD,566213.3525087626,-0.043819743022582555,0.216,Not Significant,False
Parona_PM10,RAD,575778.1242953065,0.4292902120777689,0.075,Not Significant,False
Pavia-p.zza_Minerva_PM10,RAD,579333.305733574,0.6728383139963379,0.043,High-High,True
Sannazzaro_de'_Burgondi-AGIP_PM10,RAD,578059.9530943566,0.6321693291922162,0.036,High-High,True
Sarezzo-via_Minelli_PM10,RAD,559783.7242817477,0.04610207142114581,0.38,Not Significant,False
Valmadrera_PM10,RAD,554928.1048871536,-0.05285147039418412,0.447,Not Significant,False
Vigevano-via_Valletta_PM10,RAD,575778.1242953065,0.4292902120777689,0.07,Not Significant,False
Voghera-via_Pozzoni_PM10,RAD,577113.0819385682,0.5999320313059207,0.034,High-High,True
Conegliano,RAD,544570.0909734321,0.10399533374090465,0.396,Not Significant,False
TV_Lancieri,RAD,561542.4828091298,0.06024129044455552,0.238,Not Significant,False
Mansue,RAD,556893.38292657,0.12661297174464745,0.284,Not Significant,False
TV_S_Agnese,RAD,561542.4828091298,0.060241290444555506,0.241,Not Significant,False
Bissuola,RAD,574463.9189856583,-0.33975018569480087,0.144,Not Significant,False
VE_Tagliamento,RAD,574285.3149071366,-0.33206088659399674,0.148,Not Significant,False
